TODO => valeur migra pour exemple

DATE;NBKILLS;WEAPON;FINISHEDIN;KILLSPERMIN;HIGHESTKILLSPERMIN;KILLSPERSEC;SHOTPERKILL
20191118210857;100;DEAGLE;09:05;11;19,37;0,18;3,68
20200410185903;100;USP-S;01:52;53,37;62,72;0,88;1,21
20200411202932;100;GLOCK-18;01:55;52,1;75,95;0,86;1,24

