DATE;NBKILLS;WEAPON;FINISHEDIN;KILLSPERMIN;HIGHESTKILLSPERMIN;KILLSPERSEC;SHOTPERKILL
20191204204333;100;AK-47;02:01;49,61;60,95;0,82;1,91
20200420211232;100;AK-47;01:37;61,78;67,82;1,02;2,61
